filename,Burn Mark,Flash,Short Shot,Sink Mark
fp_train_0001.jpg,0,0,0,0
fp_train_0002.jpg,0,1,0,0
fp_train_0003.jpg,0,1,0,0
fp_train_0004.jpg,0,0,0,0
fp_train_0005.jpg,0,1,0,0
fp_train_0006.jpg,0,0,0,0
fp_train_0007.jpg,0,1,1,0
fp_train_0008.jpg,0,1,0,0
fp_train_0009.jpg,0,0,0,0
fp_train_0010.jpg,1,0,0,1
fp_train_0011.jpg,1,0,0,1
fp_train_0012.jpg,0,0,0,0
fp_train_0013.jpg,1,0,0,0
fp_train_0014.jpg,0,1,0,0
fp_train_0015.jpg,1,0,0,0
fp_train_0016.jpg,0,0,1,0
fp_train_0017.jpg,0,1,0,0
fp_train_0018.jpg,1,1,1,0
fp_train_0019.jpg,0,0,0,1
fp_train_0020.jpg,0,1,0,0
fp_train_0021.jpg,0,1,0,0
fp_train_0022.jpg,0,1,0,0
fp_train_0023.jpg,0,0,1,0
fp_train_0024.jpg,0,0,0,0
fp_train_0025.jpg,0,0,0,0
fp_train_0026.jpg,0,1,0,0
fp_train_0027.jpg,0,0,0,0
fp_train_0028.jpg,0,0,0,0
fp_train_0029.jpg,0,0,0,0
fp_train_0030.jpg,0,0,1,0
fp_train_0031.jpg,0,0,0,0
fp_train_0032.jpg,0,1,1,0
fp_train_0033.jpg,0,1,1,0
fp_train_0034.jpg,0,1,0,0
fp_train_0035.jpg,1,1,0,0
fp_train_0036.jpg,0,1,1,0
fp_train_0037.jpg,0,0,0,0
fp_train_0038.jpg,1,1,0,0
fp_train_0039.jpg,0,1,0,0
fp_train_0040.jpg,0,1,0,0
fp_train_0041.jpg,0,1,1,0
fp_train_0042.jpg,0,1,1,0
fp_train_0043.jpg,0,1,0,0
fp_train_0044.jpg,1,0,0,0
fp_train_0045.jpg,0,0,0,0
fp_train_0046.jpg,0,1,1,0
fp_train_0047.jpg,0,1,1,0
fp_train_0048.jpg,1,1,0,0
fp_train_0049.jpg,1,0,0,0
fp_train_0050.jpg,0,1,0,0
fp_train_0051.jpg,0,1,1,0
fp_train_0052.jpg,0,1,0,0
fp_train_0053.jpg,0,1,0,0
fp_train_0054.jpg,1,0,0,0
fp_train_0055.jpg,0,1,1,0
fp_train_0056.jpg,1,1,0,0
